iter	Logloss
0	0.661614821
1	0.6452243602
2	0.635980637
3	0.6307039612
4	0.6273153842
5	0.6256865031
6	0.6242905821
7	0.6237231698
8	0.6231325954
9	0.6226593114
10	0.6223416675
11	0.6222478648
12	0.6221268897
13	0.622036251
14	0.6219173216
15	0.6217923679
16	0.6216842857
17	0.6216546707
18	0.6215997071
19	0.6215783247
20	0.6215370388
21	0.6215267953
22	0.6215071254
23	0.6214493933
24	0.6214267867
25	0.6214091853
26	0.6213877045
27	0.6213714886
28	0.6213594512
29	0.6213529145
30	0.6213413499
31	0.6213338144
32	0.6213304903
33	0.6213288626
34	0.6213252118
35	0.621320839
36	0.621316642
37	0.6213136548
38	0.6213055386
39	0.6213011398
40	0.6212968467
41	0.621288274
42	0.6212846154
43	0.6212824172
44	0.6212799895
45	0.6212773169
46	0.621273196
47	0.6212668901
48	0.6212642289
49	0.6212624085
50	0.6212608106
51	0.6212591227
52	0.6212577526
53	0.6212573684
54	0.6212557061
55	0.621255449
56	0.6212546579
57	0.6212536592
58	0.6212535571
59	0.6212526211
60	0.6212521792
61	0.6212519994
62	0.6212517906
63	0.6212511606
64	0.6212506279
65	0.6212503813
66	0.6212503375
67	0.6212501544
68	0.6212472828
69	0.6212466146
70	0.6212462867
71	0.6212465396
72	0.6212462146
73	0.6212456329
74	0.6212457239
75	0.621245963
76	0.6212437239
77	0.6212438685
78	0.6212430908
79	0.6212429339
80	0.6212433706
81	0.6212419285
82	0.6212426196
83	0.6212423424
84	0.6212410811
85	0.621240651
86	0.6212409185
87	0.6212403506
88	0.6212385232
89	0.6212385462
90	0.6212384262
91	0.6212373901
92	0.6212377667
93	0.6212361117
94	0.6212367059
95	0.6212360646
96	0.6212351115
97	0.621235309
98	0.6212356762
99	0.621235542
