iter	Passed	Remaining
0	2	295
1	5	270
2	7	246
3	9	234
4	12	228
5	14	220
6	16	215
7	18	209
8	20	207
9	22	204
10	24	202
11	26	195
12	28	193
13	31	190
14	33	188
15	35	186
16	37	183
17	39	180
18	41	177
19	44	176
20	46	174
21	48	171
22	51	170
23	52	167
24	54	164
25	57	162
26	59	160
27	61	157
28	63	155
29	65	152
30	67	150
31	69	147
32	71	145
33	73	142
34	75	140
35	77	137
36	79	135
37	81	133
38	83	131
39	85	128
40	88	126
41	90	124
42	92	122
43	94	120
44	96	117
45	98	115
46	101	114
47	103	112
48	105	110
49	107	107
50	109	105
51	112	103
52	114	101
53	116	99
54	118	97
55	120	94
56	122	92
57	124	90
58	126	88
59	128	85
60	130	83
61	132	81
62	135	79
63	137	77
64	139	75
65	141	73
66	143	70
67	146	68
68	148	66
69	150	64
70	152	62
71	154	60
72	156	57
73	158	55
74	160	53
75	162	51
76	164	49
77	167	47
78	169	44
79	171	42
80	173	40
81	175	38
82	177	36
83	179	34
84	181	32
85	183	29
86	185	27
87	187	25
88	189	23
89	191	21
90	193	19
91	195	17
92	197	14
93	199	12
94	202	10
95	204	8
96	206	6
97	208	4
98	210	2
99	213	0
